"Percentage","Total","GEO","citizens_value","Unemployment","GDP_pc","CITIZEN","SEX","AGE"
" 6",955,"Germany",1663936,5.5,32600,"Turkey","Males","35-64"
"31",210,"Germany",1663936,5.5,32600,"Turkey","Males","14-17"
"14",450,"Germany",1663936,5.5,32600,"Turkey","Females","35-64"
"13",845,"Germany",1663936,5.5,32600,"Turkey","Females","18-34"
" 0",10,"Germany",1663936,5.5,32600,"Turkey","Males","65-..."
" 3",4340,"Germany",1663936,5.5,32600,"Turkey","Males","18-34"
"38",825,"Germany",1663936,5.5,32600,"Turkey","Males","0-14"
" 0",20,"Germany",1663936,5.5,32600,"Turkey","Females","65-..."
"40",125,"Germany",1663936,5.5,32600,"Turkey","Females","14-17"
"39",750,"Germany",1663936,5.5,32600,"Turkey","Females","0-14"
"33",270,"France",220750,9.8,31100,"Turkey","Males","0-14"
" 0",40,"France",220750,9.8,31100,"Turkey","Females","14-17"
"17",30,"France",220750,9.8,31100,"Turkey","Females","65-..."
" 0",5,"France",220750,9.8,31100,"Turkey","Males","65-..."
"36",220,"France",220750,9.8,31100,"Turkey","Females","0-14"
" 5",7830,"France",220750,9.8,31100,"Turkey","Males","18-34"
" 9",480,"France",220750,9.8,31100,"Turkey","Females","35-64"
" 8",2015,"France",220750,9.8,31100,"Turkey","Females","18-34"
" 7",2000,"France",220750,9.8,31100,"Turkey","Males","35-64"
" 0",60,"France",220750,9.8,31100,"Turkey","Males","14-17"
" 0",7495,"Germany",216628,5.5,32600,"Serbia","Males","0-14"
" 0",90,"Germany",216628,5.5,32600,"Serbia","Females","65-..."
" 0",6005,"Germany",216628,5.5,32600,"Serbia","Males","18-34"
" 0",1450,"Germany",216628,5.5,32600,"Serbia","Males","14-17"
" 1",4035,"Germany",216628,5.5,32600,"Serbia","Females","35-64"
" 0",95,"Germany",216628,5.5,32600,"Serbia","Males","65-..."
" 0",4340,"Germany",216628,5.5,32600,"Serbia","Males","35-64"
" 1",5675,"Germany",216628,5.5,32600,"Serbia","Females","18-34"
" 0",1215,"Germany",216628,5.5,32600,"Serbia","Females","14-17"
" 0",7355,"Germany",216628,5.5,32600,"Serbia","Females","0-14"
" 6",1630,"Germany",216583,5.5,32600,"Russia","Males","35-64"
" 9",3850,"Germany",216583,5.5,32600,"Russia","Males","0-14"
"10",1490,"Germany",216583,5.5,32600,"Russia","Females","35-64"
" 9",3645,"Germany",216583,5.5,32600,"Russia","Females","0-14"
" 7",2455,"Germany",216583,5.5,32600,"Russia","Females","18-34"
" 9",495,"Germany",216583,5.5,32600,"Russia","Males","14-17"
" 4",2655,"Germany",216583,5.5,32600,"Russia","Males","18-34"
"21",70,"Germany",216583,5.5,32600,"Russia","Females","65-..."
"10",390,"Germany",216583,5.5,32600,"Russia","Females","14-17"
" 0",25,"Germany",216583,5.5,32600,"Russia","Males","65-..."
"20",50,"Italy",213564,10.7,25700,"China","Females","35-64"
" 0",5,"Italy",213564,10.7,25700,"China","Males","0-14"
"27",55,"Italy",213564,10.7,25700,"China","Males","35-64"
" 0",5,"Italy",213564,10.7,25700,"China","Females","0-14"
"25",60,"Italy",213564,10.7,25700,"China","Males","18-34"
"50",40,"Italy",213564,10.7,25700,"China","Females","18-34"
"19",1990,"UnitedKingdom",184791,7.9,30200,"Pakistan","Males","0-14"
"17",1950,"UnitedKingdom",184791,7.9,30200,"Pakistan","Females","0-14"
"12",2650,"UnitedKingdom",184791,7.9,30200,"Pakistan","Males","35-64"
"33",105,"UnitedKingdom",184791,7.9,30200,"Pakistan","Females","65-..."
"28",180,"UnitedKingdom",184791,7.9,30200,"Pakistan","Males","65-..."
"25",300,"UnitedKingdom",184791,7.9,30200,"Pakistan","Females","14-17"
"20",2345,"UnitedKingdom",184791,7.9,30200,"Pakistan","Females","18-34"
"33",425,"UnitedKingdom",184791,7.9,30200,"Pakistan","Males","14-17"
"12",4510,"UnitedKingdom",184791,7.9,30200,"Pakistan","Males","18-34"
"19",1500,"UnitedKingdom",184791,7.9,30200,"Pakistan","Females","35-64"
" 0",10,"Spain",169647,24.8,22300,"China","Males","18-34"
" 0",5,"Spain",169647,24.8,22300,"China","Females","18-34"
" 0",5,"Spain",169647,24.8,22300,"China","Males","35-64"
" 0",15,"Spain",169647,24.8,22300,"China","Females","35-64"
"46",250,"Austria",113866,4.3,36400,"Turkey","Males","0-14"
" 8",330,"Austria",113866,4.3,36400,"Turkey","Males","35-64"
"60",25,"Austria",113866,4.3,36400,"Turkey","Males","14-17"
"25",20,"Austria",113866,4.3,36400,"Turkey","Females","14-17"
"20",205,"Austria",113866,4.3,36400,"Turkey","Females","18-34"
" 3",1205,"Austria",113866,4.3,36400,"Turkey","Males","18-34"
"48",210,"Austria",113866,4.3,36400,"Turkey","Females","0-14"
"24",105,"Austria",113866,4.3,36400,"Turkey","Females","35-64"
" 6",80,"Austria",111303,4.3,36400,"Serbia","Males","14-17"
"25",420,"Austria",111303,4.3,36400,"Serbia","Females","0-14"
"21",450,"Austria",111303,4.3,36400,"Serbia","Males","0-14"
" 3",430,"Austria",111303,4.3,36400,"Serbia","Males","35-64"
" 5",195,"Austria",111303,4.3,36400,"Serbia","Females","35-64"
" 1",845,"Austria",111303,4.3,36400,"Serbia","Males","18-34"
" 8",325,"Austria",111303,4.3,36400,"Serbia","Females","18-34"
" 8",60,"Austria",111303,4.3,36400,"Serbia","Females","14-17"
" 8",1135,"UnitedKingdom",108312,7.9,30200,"Nigeria","Males","18-34"
"12",730,"UnitedKingdom",108312,7.9,30200,"Nigeria","Males","0-14"
"12",1065,"UnitedKingdom",108312,7.9,30200,"Nigeria","Females","18-34"
"40",75,"UnitedKingdom",108312,7.9,30200,"Nigeria","Males","14-17"
"59",135,"UnitedKingdom",108312,7.9,30200,"Nigeria","Females","14-17"
"12",955,"UnitedKingdom",108312,7.9,30200,"Nigeria","Females","0-14"
" 5",990,"UnitedKingdom",108312,7.9,30200,"Nigeria","Males","35-64"
" 8",670,"UnitedKingdom",108312,7.9,30200,"Nigeria","Females","35-64"
"62",130,"UnitedKingdom",107596,7.9,30200,"China","Females","14-17"
"11",1595,"UnitedKingdom",107596,7.9,30200,"China","Males","18-34"
"14",1960,"UnitedKingdom",107596,7.9,30200,"China","Females","18-34"
"11",395,"UnitedKingdom",107596,7.9,30200,"China","Females","35-64"
"71",70,"UnitedKingdom",107596,7.9,30200,"China","Males","14-17"
"16",645,"UnitedKingdom",107596,7.9,30200,"China","Females","0-14"
"12",595,"UnitedKingdom",107596,7.9,30200,"China","Males","0-14"
" 8",710,"UnitedKingdom",107596,7.9,30200,"China","Males","35-64"
"67",15,"Germany",100354,5.5,32600,"China","Females","14-17"
" 0",20,"Germany",100354,5.5,32600,"China","Males","14-17"
"23",220,"Germany",100354,5.5,32600,"China","Males","0-14"
"17",545,"Germany",100354,5.5,32600,"China","Males","18-34"
"19",235,"Germany",100354,5.5,32600,"China","Females","35-64"
"23",320,"Germany",100354,5.5,32600,"China","Females","18-34"
"14",465,"Germany",100354,5.5,32600,"China","Males","35-64"
"31",180,"Germany",100354,5.5,32600,"China","Females","0-14"
"50",10,"Switzerland",98672,3,61900,"Serbia","Females","65-..."
"33",105,"Switzerland",98672,3,61900,"Serbia","Females","14-17"
"22",115,"Switzerland",98672,3,61900,"Serbia","Males","14-17"
"19",390,"Switzerland",98672,3,61900,"Serbia","Males","35-64"
" 0",5,"Switzerland",98672,3,61900,"Serbia","Males","65-..."
"31",680,"Switzerland",98672,3,61900,"Serbia","Females","0-14"
