"TIME","GEO","CITIZEN","AGE","SEX","Value"
"2002","Belgium","Reporting country","Total","Total","9,462,991"
"2002","Belgium","Former Yugoslav Republic of Macedonia, the","Total","Total","2,462"
"2002","Belgium","Turkey","Total","Total","47,044"
"2002","Belgium","Serbia","Total","Total",":"
"2002","Belgium","Russia","Total","Total","3,037"
"2002","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Belgium","Eritrea","Total","Total","21"
"2002","Belgium","Somalia","Total","Total","476"
"2002","Belgium","Congo","Total","Total","508"
"2002","Belgium","Guinea","Total","Total","633"
"2002","Belgium","Nigeria","Total","Total","1,167"
"2002","Belgium","China (including Hong Kong)","Total","Total",":"
"2002","Belgium","Afghanistan","Total","Total","600"
"2002","Belgium","Bangladesh","Total","Total","657"
"2002","Belgium","Iran","Total","Total","1,150"
"2002","Belgium","Pakistan","Total","Total","2,094"
"2002","Belgium","Armenia","Total","Total","1,035"
"2002","Belgium","Georgia","Total","Total","401"
"2002","Belgium","Iraq","Total","Total","487"
"2002","Belgium","Syria","Total","Total","813"
"2002","Bulgaria","Reporting country","Total","Total",":"
"2002","Bulgaria","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Bulgaria","Turkey","Total","Total",":"
"2002","Bulgaria","Serbia","Total","Total",":"
"2002","Bulgaria","Russia","Total","Total",":"
"2002","Bulgaria","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Bulgaria","Eritrea","Total","Total",":"
"2002","Bulgaria","Somalia","Total","Total",":"
"2002","Bulgaria","Congo","Total","Total",":"
"2002","Bulgaria","Guinea","Total","Total",":"
"2002","Bulgaria","Nigeria","Total","Total",":"
"2002","Bulgaria","China (including Hong Kong)","Total","Total",":"
"2002","Bulgaria","Afghanistan","Total","Total",":"
"2002","Bulgaria","Bangladesh","Total","Total",":"
"2002","Bulgaria","Iran","Total","Total",":"
"2002","Bulgaria","Pakistan","Total","Total",":"
"2002","Bulgaria","Armenia","Total","Total",":"
"2002","Bulgaria","Georgia","Total","Total",":"
"2002","Bulgaria","Iraq","Total","Total",":"
"2002","Bulgaria","Syria","Total","Total",":"
"2002","Czech Republic","Reporting country","Total","Total","10,042,631"
"2002","Czech Republic","Former Yugoslav Republic of Macedonia, the","Total","Total","761"
"2002","Czech Republic","Turkey","Total","Total","290"
"2002","Czech Republic","Serbia","Total","Total",":"
"2002","Czech Republic","Russia","Total","Total","11,167"
"2002","Czech Republic","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Czech Republic","Eritrea","Total","Total","3"
"2002","Czech Republic","Somalia","Total","Total","1"
"2002","Czech Republic","Congo","Total","Total","33"
"2002","Czech Republic","Guinea","Total","Total","26"
"2002","Czech Republic","Nigeria","Total","Total","141"
"2002","Czech Republic","China (including Hong Kong)","Total","Total","3,239"
"2002","Czech Republic","Afghanistan","Total","Total","88"
"2002","Czech Republic","Bangladesh","Total","Total","31"
"2002","Czech Republic","Iran","Total","Total","92"
"2002","Czech Republic","Pakistan","Total","Total","202"
"2002","Czech Republic","Armenia","Total","Total","952"
"2002","Czech Republic","Georgia","Total","Total","245"
"2002","Czech Republic","Iraq","Total","Total","143"
"2002","Czech Republic","Syria","Total","Total","277"
"2002","Denmark","Reporting country","Total","Total","5,101,625"
"2002","Denmark","Former Yugoslav Republic of Macedonia, the","Total","Total","1,694"
"2002","Denmark","Turkey","Total","Total","33,383"
"2002","Denmark","Serbia","Total","Total",":"
"2002","Denmark","Russia","Total","Total","2,358"
"2002","Denmark","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Denmark","Eritrea","Total","Total","109"
"2002","Denmark","Somalia","Total","Total","14,585"
"2002","Denmark","Congo","Total","Total","125"
"2002","Denmark","Guinea","Total","Total","38"
"2002","Denmark","Nigeria","Total","Total","416"
"2002","Denmark","China (including Hong Kong)","Total","Total",":"
"2002","Denmark","Afghanistan","Total","Total","7,061"
"2002","Denmark","Bangladesh","Total","Total","157"
"2002","Denmark","Iran","Total","Total","4,906"
"2002","Denmark","Pakistan","Total","Total","7,160"
"2002","Denmark","Armenia","Total","Total","580"
"2002","Denmark","Georgia","Total","Total","100"
"2002","Denmark","Iraq","Total","Total","16,541"
"2002","Denmark","Syria","Total","Total","603"
"2002","Germany (until 1990 former territory of the FRG)","Reporting country","Total","Total","75,122,046"
"2002","Germany (until 1990 former territory of the FRG)","Former Yugoslav Republic of Macedonia, the","Total","Total","55,986"
"2002","Germany (until 1990 former territory of the FRG)","Turkey","Total","Total","1,947,938"
"2002","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total",":"
"2002","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","136,080"
"2002","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","4,453"
"2002","Germany (until 1990 former territory of the FRG)","Somalia","Total","Total","7,563"
"2002","Germany (until 1990 former territory of the FRG)","Congo","Total","Total","1,684"
"2002","Germany (until 1990 former territory of the FRG)","Guinea","Total","Total","2,379"
"2002","Germany (until 1990 former territory of the FRG)","Nigeria","Total","Total","15,601"
"2002","Germany (until 1990 former territory of the FRG)","China (including Hong Kong)","Total","Total",":"
"2002","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","71,662"
"2002","Germany (until 1990 former territory of the FRG)","Bangladesh","Total","Total","5,726"
"2002","Germany (until 1990 former territory of the FRG)","Iran","Total","Total","98,555"
"2002","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","35,433"
"2002","Germany (until 1990 former territory of the FRG)","Armenia","Total","Total","11,153"
"2002","Germany (until 1990 former territory of the FRG)","Georgia","Total","Total","11,463"
"2002","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","76,297"
"2002","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","27,389"
"2002","Estonia","Reporting country","Total","Total",":"
"2002","Estonia","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Estonia","Turkey","Total","Total",":"
"2002","Estonia","Serbia","Total","Total",":"
"2002","Estonia","Russia","Total","Total",":"
"2002","Estonia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Estonia","Eritrea","Total","Total",":"
"2002","Estonia","Somalia","Total","Total",":"
"2002","Estonia","Congo","Total","Total",":"
"2002","Estonia","Guinea","Total","Total",":"
"2002","Estonia","Nigeria","Total","Total",":"
"2002","Estonia","China (including Hong Kong)","Total","Total",":"
"2002","Estonia","Afghanistan","Total","Total",":"
"2002","Estonia","Bangladesh","Total","Total",":"
"2002","Estonia","Iran","Total","Total",":"
"2002","Estonia","Pakistan","Total","Total",":"
"2002","Estonia","Armenia","Total","Total",":"
"2002","Estonia","Georgia","Total","Total",":"
"2002","Estonia","Iraq","Total","Total",":"
"2002","Estonia","Syria","Total","Total",":"
"2002","Ireland","Reporting country","Total","Total","3,627,059"
"2002","Ireland","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Ireland","Turkey","Total","Total",":"
"2002","Ireland","Serbia","Total","Total",":"
"2002","Ireland","Russia","Total","Total",":"
"2002","Ireland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Ireland","Eritrea","Total","Total",":"
"2002","Ireland","Somalia","Total","Total",":"
"2002","Ireland","Congo","Total","Total",":"
