"","Afghanistan","Armenia","Bangladesh","China","Democratic Republic of the Congo","Eritrea","Former Yugoslav Republic of Macedonia, the","Georgia","Guinea","Iran","Iraq","Kosovo","Nigeria","Pakistan","Russia","Serbia","Somalia","Sri Lanka","Syria","Total","Turkey"
"Austria",14185,2350,760,1480,320,110,950,2650,270,2670,2450,3750,3740,4095,18815,2830,2610,95,2965,87135,2375
"Belgium",10150,4390,925,1400,6350,250,2420,1335,9405,2780,6840,7420,635,1995,11510,5800,1455,855,3220,111765,1835
"Bulgaria",255,220,20,20,15,NA,5,15,NA,155,1545,NA,65,45,35,NA,75,25,2220,5885,35
"Croatia",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,5,35,NA,20,325,10
"Cyprus",150,60,625,295,10,NA,NA,210,60,505,770,NA,275,550,60,55,5,645,825,11060,245
"Czech Republic",85,120,5,50,60,10,5,90,5,35,90,55,135,40,305,45,10,25,205,4785,360
"Denmark",4005,200,180,95,130,150,60,75,30,2205,895,575,265,160,1795,1520,1720,180,3705,21525,110
"Estonia",25,10,NA,NA,10,NA,NA,35,NA,NA,NA,NA,5,NA,30,NA,5,5,15,245,NA
"Finland",1605,40,65,65,225,30,55,105,70,770,4245,520,470,80,1605,375,3235,195,425,18460,410
"France",3030,15580,16990,10620,19110,2925,2185,6930,10170,1210,1810,16250,4350,5840,20230,5310,2315,19085,1870,268435,12935
"Germany",23925,2130,735,2015,1020,2435,16640,3855,1410,13535,36270,10990,3660,6365,16705,37765,4265,2920,21355,267080,8535
"Greece",5925,365,8935,1665,155,265,10,7575,430,1590,5685,5,2985,25580,395,25,510,385,2555,80335,245
"Hungary",1915,20,155,105,20,10,25,165,75,140,230,1925,235,1170,45,465,420,30,305,10295,110
"Iceland",15,NA,NA,NA,NA,NA,10,5,NA,20,30,5,25,5,20,5,5,5,10,385,NA
"Ireland",410,35,190,265,580,180,NA,370,55,225,450,60,2480,1095,115,50,375,45,80,11510,15
"Italy",7170,220,4915,215,375,6205,215,390,1945,1120,2510,1005,22995,8820,135,1395,9635,640,1300,129585,3590
"Latvia",70,NA,5,NA,30,NA,NA,110,NA,25,NA,NA,NA,NA,30,NA,NA,NA,40,430,5
"Liechtenstein",5,5,NA,5,NA,50,35,NA,NA,NA,NA,15,NA,NA,50,15,50,NA,NA,355,NA
"Lithuania",95,10,NA,NA,5,5,NA,645,NA,NA,5,NA,NA,5,250,NA,NA,15,10,1310,NA
"Luxembourg",75,10,NA,5,35,35,460,30,25,165,245,750,80,NA,150,1335,85,NA,35,5350,15
"Malta",NA,5,60,5,5,1675,NA,5,60,5,25,NA,860,85,NA,NA,5110,5,455,10710,5
"Netherlands",9060,2300,140,1915,380,3180,755,1525,1545,5320,15560,185,870,575,2065,660,20900,1310,3405,91120,575
"Norway",9035,110,430,605,400,11305,210,305,325,2800,6105,715,2300,580,3830,1685,10455,830,1670,71395,345
"Poland",130,560,60,40,20,15,NA,3985,30,40,110,NA,85,105,16710,5,30,55,100,23835,60
"Portugal",5,NA,5,NA,50,15,NA,5,210,20,NA,NA,85,15,15,NA,50,30,15,980,5
"Romania",245,15,275,90,15,15,NA,110,15,70,385,NA,30,585,30,35,35,20,1060,5780,150
"Slovakia",325,20,35,70,30,20,NA,65,NA,45,85,NA,NA,125,95,25,265,5,25,1830,35
"Slovenia",110,NA,NA,5,NA,10,5,NA,NA,45,10,105,30,40,40,135,45,5,30,1035,75
"Spain",230,190,130,30,575,130,30,170,660,255,210,NA,2380,370,365,35,415,170,380,20790,110
"Sweden",14990,1535,640,365,495,10060,2305,1835,225,6335,22475,5250,1835,825,4960,13845,25735,185,19325,184695,1170
"Switzerland",3290,275,160,1700,940,15100,1425,2085,1140,1235,3425,1640,8450,330,1470,3430,4650,3395,2795,81110,1920
"United Kingdom",12340,90,3340,6565,1560,7620,50,315,510,15080,5200,150,6020,16415,615,95,5330,10090,3710,149085,1065
